commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,1995-02-01,62.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-02_1364
CEREALS,GLOBAL,1995-03-01,62.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-03_1365
CEREALS,GLOBAL,1995-04-01,62.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-04_1366
CEREALS,GLOBAL,1995-05-01,64.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-05_1367
CEREALS,GLOBAL,1995-06-01,69.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-06_1368
CEREALS,GLOBAL,1995-07-01,74.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-07_1369
CEREALS,GLOBAL,1995-08-01,72.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-08_1370
CEREALS,GLOBAL,1995-09-01,75.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-09_1371
CEREALS,GLOBAL,1995-10-01,80.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-10_1372
CEREALS,GLOBAL,1995-11-01,80.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-11_1373
CEREALS,GLOBAL,1995-12-01,82.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1995-12_1374
CEREALS,GLOBAL,1996-01-01,83.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-01_1375
CEREALS,GLOBAL,1996-02-01,85.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-02_1376
CEREALS,GLOBAL,1996-03-01,86.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-03_1377
CEREALS,GLOBAL,1996-04-01,95.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-04_1378
CEREALS,GLOBAL,1996-05-01,100.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-05_1379
CEREALS,GLOBAL,1996-06-01,94.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-06_1380
CEREALS,GLOBAL,1996-07-01,91.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-07_1381
CEREALS,GLOBAL,1996-08-01,85.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-08_1382
CEREALS,GLOBAL,1996-09-01,75.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-09_1383
CEREALS,GLOBAL,1996-10-01,71.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-10_1384
CEREALS,GLOBAL,1996-11-01,67.4,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-11_1385
CEREALS,GLOBAL,1996-12-01,67.6,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1996-12_1386
CEREALS,GLOBAL,1997-01-01,68.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1997-01_1387
